"Código de barras",Código,Variantes,expected,counted
"10-734/4 0,50 / .020","10-734/4 0,50 / .020",,1.0000,
"10-734/4 0,80 / .030","10-734/4 0,80 / .030","1.7 8v D (XUD7)",1.0000,
"10-775/4 010","10-775/4 010",,3.0000,
"10-775/4 STD","10-775/4 STD","1.6 8v (ZETEC ROCAM)",-3.0000,
"10-775/4 STD","10-775/4 STD","1.0 8v (ZETEC ROCAM)",12.0000,
"10-776/4 STD","10-776/4 STD",,2.0000,
10-777/4,"10-777/4 010",,1.0000,
"10-779/4 010","10-779/4 010",,1.0000,
"10-779/4 STD","10-779/4 STD",,1.0000,
"10-810/4 STD","10-810/4 STD",,2.0000,
"10-876/4 STD","10-876/4 STD",,2.0000,
1000021,1000021,,3.0000,
1000038,1000038,,15.0000,
1000086,1000086,,2.0000,
1000123,1000123,,4.0000,
1000132,1000132,,0.0000,
1000133,1000133,,14.0000,
1000140,1000140,,4.0000,
1000141,1000141,,3.0000,
1000150,1000150,,7.0000,
1000160,1000160,,0.0000,
1000161,1000161,,21.0000,
1000168,1000168,,1.0000,
1000169,1000169,,3.0000,
1000170,1000170,,0.0000,
1000171,1000171,,2.0000,
1000180R,1000180R,,5.0000,
1000184R,1000184R,,62.0000,
1000188,1000188,"3.0 12v (188)",-1.0000,
1000194,1000194,,12.0000,
1000194R,1000194R,,9.0000,
1000195,1000195,,45.0000,
1000200,1000200,,1.0000,
1000201,1000201,,0.0000,
1000221,1000221,,4.0000,
1000250,1000250,,5.0000,
1000251,1000251,,6.0000,
1000252,1000252,,4.0000,
1000261,1000261,,4.0000,
1000280,1000280,,6.0000,
1000285,1000285,,12.0000,
1000295,1000295,,4.0000,
1000315,1000315,,33.0000,
1000335,1000335,,3.0000,
1000353,1000353,,56.0000,
1000369R,1000369R,,12.0000,
1000381,1000381,,0.0000,
1000400,1000400,,14.0000,
1000401,1000401,,4.0000,
1000415,1000415,,7.0000,
1000422,1000422,,50.0000,
1000452,1000452,,31.0000,
1000453,1000453,,4.0000,
1000462,1000462,,20.0000,
1000464,1000464,,30.0000,
1000465R,1000465R,,28.0000,
1000466R,1000466R,,23.0000,
1000467R,1000467R,,5.0000,
